alignment,combat,durability,eye_color,gender,hair_color,height,id,image,intelligence,name,ocuppation,power,publisher,race,speed,strength,weight
good,null,null,Brown,Male,Black,183 cm,293,https://www.superherodb.com/pictures2/portraits/10/100/879.jpg,null,Goliath IV,"Biochemist, inventor, research scientist, adventurer; (formerly) circus performer, soldier",null,Marvel Comics,null,null,null,90 kg
bad,65,70,Yellow,Male,Black,198 cm,294,https://www.superherodb.com/pictures2/portraits/10/100/694.jpg,81,Gorilla Grodd,-,100,DC Comics,Gorilla,33,53,270 kg
bad,null,null,Blue,Female,White,178 cm,295,https://www.superherodb.com/pictures2/portraits/10/100/1344.jpg,null,Granny Goodness,-,null,DC Comics,null,null,96,115 kg
good,30,40,Blue,Male,Brown,178 cm,296,https://www.superherodb.com/pictures2/portraits/10/100/74.jpg,50,Gravity,Student,69,Marvel Comics,Human,33,32,79 kg
bad,40,15,Purple,Male,-,170 cm,297,https://www.superherodb.com/pictures2/portraits/10/100/10468.jpg,38,Greedo,Bounty Hunter,31,George Lucas,Rodian,13,10,0 kg
good,90,28,Green,Male,Blond,188 cm,298,https://www.superherodb.com/pictures2/portraits/10/100/696.jpg,81,Green Arrow,Professional Crime-fighter; Multi-Billionaire,39,DC Comics,Human,35,12,88 kg
bad,50,60,Blue,Male,Auburn,180 cm,299,https://www.superherodb.com/pictures2/portraits/10/100/579.jpg,100,Green Goblin,"Professional criminal, owner and president of Osborn Industries",48,Marvel Comics,Human,38,48,83 kg
bad,26,50,Blue,Male,Auburn,178 cm,300,https://www.superherodb.com/pictures2/portraits/10/100/25.jpg,75,Green Goblin II,-,44,Marvel Comics,null,37,55,77 kg
good,null,null,-,Male,-,183 cm,301,https://www.superherodb.com/pictures2/portraits/10/100/351.jpg,null,Green Goblin III,Psychiatrist,null,Marvel Comics,null,null,null,88 kg
good,null,null,Green,Male,Brown,178 cm,302,https://www.superherodb.com/pictures2/portraits/10/100/75.jpg,null,Green Goblin IV,"College student, former vigilante, intern at Daily Bugle",null,Marvel Comics,null,null,null,79 kg
good,64,70,Yellow,Male,-,701 cm,303,https://www.superherodb.com/pictures2/portraits/10/100/10017.jpg,75,Groot,-,100,Marvel Comics,Flora Colossus,33,85,4 tons
good,null,null,Brown,Male,Black,0 cm,304,https://www.superherodb.com/pictures2/portraits/10/100/76.jpg,null,Guardian,"Engineer, government agent, adventurer",null,Marvel Comics,Human,null,45,0 kg
good,64,64,Blue,Male,Red,188 cm,305,https://www.superherodb.com/pictures2/portraits/10/100/700.jpg,38,Guy Gardner,Former High School gym teacher; former bar owner; currently Honor guard of the Green Lantern Corps,100,DC Comics,Human-Vuldarian,53,90,95 kg
good,70,80,Brown,Male,Brown,188 cm,306,https://www.superherodb.com/pictures2/portraits/10/100/697.jpg,69,Hal Jordan,"Adventurer, Air Force Test Pilot",100,DC Comics,Human,75,90,90 kg
good,60,20,Brown,Male,Brown,183 cm,307,https://www.superherodb.com/pictures2/portraits/10/100/10456.jpg,50,Han Solo,-,43,George Lucas,Human,17,10,79 kg
good,50,100,Brown,Male,Black,188 cm,308,https://www.superherodb.com/pictures2/portraits/10/100/1109.jpg,63,Hancock,-,100,Sony Pictures,Human,67,90,0 kg
bad,80,65,Blue,Female,Blond,170 cm,309,https://www.superherodb.com/pictures2/portraits/10/100/701.jpg,88,Harley Quinn,Psychiatrist,55,DC Comics,Human,33,12,63 kg
good,50,10,Green,Male,Black,0 cm,310,https://www.superherodb.com/pictures2/portraits/10/100/10878.jpg,75,Harry Potter,Head of the Department of Magical Law Enforcement[,100,J. K. Rowling,Human,21,7,0 kg
good,45,60,Blue,Male,Blond,183 cm,311,https://www.superherodb.com/pictures2/portraits/10/100/77.jpg,63,Havok,"Currently Adventurer, formerly Graduate student in geophysics",71,Marvel Comics,Mutant,25,10,79 kg
good,42,95,Red,Male,Brown,185 cm,312,https://www.superherodb.com/pictures2/portraits/10/100/1382.jpg,38,Hawk,-,43,DC Comics,null,35,38,89 kg
good,80,10,Blue,Male,Blond,191 cm,313,https://www.superherodb.com/pictures2/portraits/10/100/73.jpg,56,Hawkeye,Adventurer,29,Goliath,Human,21,12,104 kg
good,50,10,Blue,Female,Black,165 cm,314,https://www.superherodb.com/pictures2/portraits/10/100/10043.jpg,50,Hawkeye II,Student; Adventurer; Fugitive,24,Marvel Comics,Human,8,6,57 kg
good,72,99,Green,Female,Red,175 cm,315,https://www.superherodb.com/pictures2/portraits/10/100/703.jpg,50,Hawkgirl,"Adventurer, Film School Student, Temp Curator of the Stonechat Museum",96,DC Comics,null,53,28,61 kg
good,null,null,Blue,Male,Brown,185 cm,316,https://www.superherodb.com/pictures2/portraits/10/100/839.jpg,null,Hawkman,Adventurer,null,DC Comics,null,null,66,88 kg
good,null,null,Green,Female,Red,175 cm,317,https://www.superherodb.com/pictures2/portraits/10/100/702.jpg,null,Hawkwoman,-,null,DC Comics,null,null,96,54 kg
good,null,null,-,Female,-,0 cm,318,https://www.superherodb.com/pictures2/portraits/10/100/1129.jpg,null,Hawkwoman II,-,null,DC Comics,null,null,null,0 kg
good,null,null,Blue,Female,Red,170 cm,319,https://www.superherodb.com/pictures2/portraits/10/100/1130.jpg,null,Hawkwoman III,Police Officer,null,DC Comics,null,null,92,65 kg
bad,30,45,Blue,Male,No Hair,180 cm,320,https://www.superherodb.com/pictures2/portraits/10/100/705.jpg,38,Heat Wave,Professional Criminal,27,DC Comics,Human,17,10,81 kg
bad,45,100,Green,Female,Black,213 cm,321,https://www.superherodb.com/pictures2/portraits/10/100/10835.jpg,63,Hela,"Asgardian Goddess of Death, former Ruler of Hel and Niffleheim",100,Marvel Comics,Asgardian,46,100,225 kg
good,75,95,Gold,Male,Black,259 cm,322,https://www.superherodb.com/pictures2/portraits/10/100/813.jpg,63,Hellboy,-,73,Dark Horse Comics,Demon,21,53,158 kg
good,70,45,Blue,Female,Red,173 cm,323,https://www.superherodb.com/pictures2/portraits/10/100/79.jpg,63,Hellcat,"Housemaker, model, adventurer, supernatural investigator",46,Marvel Comics,Human,33,11,61 kg
good,null,null,Red,Male,Red,185 cm,324,https://www.superherodb.com/pictures2/portraits/10/100/80.jpg,null,Hellstorm,"Ruler of Hell, former Demonologist, occult investigator, exorcist and priest",null,Marvel Comics,null,null,56,81 kg
good,100,85,Blue,Male,Brown,196 cm,325,https://www.superherodb.com/pictures2/portraits/10/100/78.jpg,63,Hercules,"Adventurer, Olympian God of Strength and Labor, later Olympian God of Heroes",89,Marvel Comics,Demi-God,46,100,146 kg
good,null,null,-,Male,-,0 cm,326,https://www.superherodb.com/pictures2/portraits/10/100/947.jpg,null,Hiro Nakamura,Office worker,null,NBC - Heroes,null,null,15,0 kg
good,65,20,-,Female,-,0 cm,327,https://www.superherodb.com/pictures2/portraits/10/100/1336.jpg,56,Hit-Girl,-,27,Icon Comics,Human,29,7,0 kg
bad,null,null,Blue,Male,Grey,180 cm,328,https://www.superherodb.com/pictures2/portraits/10/100/896.jpg,null,Hobgoblin,Fashion designer,null,Marvel Comics,null,null,53,83 kg
good,null,null,Blue,Female,Red,170 cm,329,https://www.superherodb.com/pictures2/portraits/10/100/931.jpg,null,Hollow,-,null,Marvel Comics,null,null,null,0 kg
good,75,32,Green,Female,Red,168 cm,330,https://www.superherodb.com/pictures2/portraits/10/100/1351.jpg,63,Hope Summers,-,93,Marvel Comics,null,12,10,48 kg
good,null,null,Brown,Male,Yellow,79 cm,331,https://www.superherodb.com/pictures2/portraits/10/100/82.jpg,null,Howard the Duck,"Many and various, including former candidate for the United States presidency but usually unemployed",null,Marvel Comics,null,null,44,18 kg
good,85,100,Green,Male,Green,244 cm,332,https://www.superherodb.com/pictures2/portraits/10/100/83.jpg,88,Hulk,"Nuclear physicist, Agent of S.H.I.E.L.D.",98,Marvel Comics,Human / Radiation,63,100,630 kg
good,42,70,Blue,Male,Blond,178 cm,333,https://www.superherodb.com/pictures2/portraits/10/100/362.jpg,63,Human Torch,Adventurer,87,Marvel Comics,Human / Radiation,63,11,77 kg
good,95,28,Blue,Female,Black,180 cm,334,https://www.superherodb.com/pictures2/portraits/10/100/707.jpg,69,Huntress,Vigilante; High school English teacher,34,Batgirl III,null,23,10,59 kg
good,64,78,Blue,Female,Blond,170 cm,335,https://www.superherodb.com/pictures2/portraits/10/100/84.jpg,63,Husk,"Adventurer; formerly student, activist",48,Marvel Comics,Mutant,35,63,58 kg
good,80,75,Brown,Male,Black,175 cm,336,https://www.superherodb.com/pictures2/portraits/10/100/10493.jpg,63,Hybrid,-,100,Marvel Comics,Symbiote,58,63,77 kg
bad,50,80,Brown,Male,Brown,188 cm,337,https://www.superherodb.com/pictures2/portraits/10/100/1451.jpg,38,Hydro-Man,Professional Criminal; former crewman of cargo ship,66,Marvel Comics,null,25,13,119 kg
good,80,95,Blue,Male,Red,183 cm,338,https://www.superherodb.com/pictures2/portraits/10/100/1286.jpg,88,Hyperion,"Adventurer; (Formerly) Cartoonist, government agent",87,Marvel Comics,Eternal,100,100,207 kg
good,64,100,Brown,Male,Brown,173 cm,339,https://www.superherodb.com/pictures2/portraits/10/100/816.jpg,63,Iceman,"Adventurer, formerly teacher, accountant, student",100,Marvel Comics,Mutant,53,32,65 kg
good,60,60,Yellow,Male,Auburn,170 cm,340,https://www.superherodb.com/pictures2/portraits/10/100/895.jpg,50,Impulse,"Adventurer, Student",74,Flash IV,Human,100,10,65 kg
good,30,30,-,Male,-,183 cm,341,https://www.superherodb.com/pictures2/portraits/10/100/10560.jpg,69,Indiana Jones,Archaeologist,19,George Lucas,Human,17,10,79 kg
neutral,50,50,-,Female,Purple,0 cm,342,https://www.superherodb.com/pictures2/portraits/10/100/708.jpg,75,Indigo,Leader of the Indigo Tribe,100,DC Comics,Alien,50,63,0 kg
good,50,40,Blue,Male,No Hair,180 cm,343,https://www.superherodb.com/pictures2/portraits/10/100/10337.jpg,38,Ink,-,73,Marvel Comics,Mutant,17,28,81 kg
good,56,85,blue,Female,Blond,168 cm,344,https://www.superherodb.com/pictures2/portraits/10/100/620.jpg,88,Invisible Woman,"Member of the Fantastic Four, financial manager for Fantastic Four Inc, occasional model and actress",93,Marvel Comics,Human / Radiation,27,10,54 kg
good,100,50,Blue,Male,Blond,180 cm,345,https://www.superherodb.com/pictures2/portraits/10/100/1120.jpg,75,Iron Fist,"Adventurer; formerly co-owner of Rand-Meachum, Inc., bodyguard, private investigator, research assistant, warrior",95,Marvel Comics,Human,33,55,79 kg
good,64,85,Blue,Male,Black,198 cm,346,https://www.superherodb.com/pictures2/portraits/10/100/85.jpg,100,Iron Man,"Inventor, Industrialist; former United States Secretary of Defense",100,Marvel Comics,Human,58,85,191 kg
bad,56,90,Blue,Male,No Hair,0 cm,347,https://www.superherodb.com/pictures2/portraits/10/100/886.jpg,88,Iron Monger,CEO Stane International,57,Marvel Comics,null,25,63,2 tons
good,56,46,-,Female,-,0 cm,348,https://www.superherodb.com/pictures2/portraits/10/100/1164.jpg,75,Isis,"Adventurer, formerly First Lady of Kahndaq, former slave",50,DC Comics,null,75,48,0 kg
good,null,null,-,Male,-,0 cm,349,https://www.superherodb.com/pictures2/portraits/10/100/1203.jpg,null,Jack Bauer,-,null,null,null,null,43,0 kg
good,30,30,Blue / White,Male,Brown,155 cm,350,https://www.superherodb.com/pictures2/portraits/10/100/86.jpg,63,Jack of Hearts,Adventurer,77,Marvel Comics,Human,100,55,79 kg
good,6,80,Blue,Male,Brown,71 cm,351,https://www.superherodb.com/pictures2/portraits/10/100/871.jpg,6,Jack-Jack,-,100,Dark Horse Comics,Human,67,34,14 kg
good,90,35,blue,Male,Blond,183 cm,352,https://www.superherodb.com/pictures2/portraits/10/100/10404.jpg,88,James Bond,00 Agent,25,Titan Books,Human,17,13,0 kg
good,75,30,Hazel,Male,Brown,178 cm,353,https://www.superherodb.com/pictures2/portraits/10/100/10565.jpg,69,James T. Kirk,Captain,30,Star Trek,Human,17,11,77 kg
good,15,10,Yellow,Male,-,193 cm,354,https://www.superherodb.com/pictures2/portraits/10/100/10563.jpg,10,Jar Jar Binks,-,21,George Lucas,Gungan,33,6,0 kg
good,100,30,-,Male,-,0 cm,355,https://www.superherodb.com/pictures2/portraits/10/100/10477.jpg,88,Jason Bourne,-,26,null,Human,29,12,0 kg
good,70,20,Green,Female,Red,168 cm,356,https://www.superherodb.com/pictures2/portraits/10/100/814.jpg,94,Jean Grey,Adventurer,92,Phoenix,Mutant,21,80,52 kg
good,65,30,-,Male,-,0 cm,357,https://www.superherodb.com/pictures2/portraits/10/100/10567.jpg,75,Jean-Luc Picard,Commanding officer USS Enterprise (NCC-1701-E),26,Star Trek,Human,17,10,0 kg
good,72,42,Blue,Female,Blond,168 cm,358,https://www.superherodb.com/pictures2/portraits/10/100/1321.jpg,75,Jennifer Kale,"Sorceress, student",74,Marvel Comics,null,35,10,55 kg
good,null,null,-,Female,-,0 cm,359,https://www.superherodb.com/pictures2/portraits/10/100/10544.jpg,null,Jesse Quick,-,null,Liberty Belle II,Human,null,42,0 kg
good,55,50,Green,Female,Brown,0 cm,360,https://www.superherodb.com/pictures2/portraits/10/100/10650.jpg,56,Jessica Cruz,-,100,DC Comics,Human,46,90,0 kg
good,55,70,Brown,Female,Brown,170 cm,361,https://www.superherodb.com/pictures2/portraits/10/100/10403.jpg,56,Jessica Jones,"Special Consultant to ""The Pulse"", a Daily Bugle supplement; formerly private investigator, adventurer, short-time vigilante",18,Power Woman,Human,50,44,56 kg
good,null,null,-,Female,-,0 cm,362,https://www.superherodb.com/pictures2/portraits/10/100/1029.jpg,null,Jessica Sanders,-,null,NBC - Heroes,null,null,null,0 kg
bad,null,null,Blue,Male,Black,188 cm,363,https://www.superherodb.com/pictures2/portraits/10/100/887.jpg,null,Jigsaw,Professional mobster,null,Marvel Comics,null,null,null,113 kg
good,20,80,-,Male,-,0 cm,364,https://www.superherodb.com/pictures2/portraits/10/100/1354.jpg,38,Jim Powell,Police Sketch Artist,23,ABC Studios,null,23,38,0 kg
good,10,10,-,Male,-,0 cm,365,https://www.superherodb.com/pictures2/portraits/10/100/1357.jpg,88,JJ Powell,Student,14,ABC Studios,null,8,10,0 kg
good,null,null,-,Male,-,0 cm,366,https://www.superherodb.com/pictures2/portraits/10/100/1121.jpg,null,Johann Krauss,-,null,Dark Horse Comics,null,null,30,0 kg
good,65,40,Blue,Male,Blond,183 cm,367,https://www.superherodb.com/pictures2/portraits/10/100/718.jpg,63,John Constantine,-,54,DC Comics,Human,8,10,0 kg
good,65,64,Green,Male,Black,185 cm,368,https://www.superherodb.com/pictures2/portraits/10/100/873.jpg,56,John Stewart,Architect,100,DC Comics,Human,42,85,90 kg
good,80,28,Brown,Male,Black,183 cm,369,https://www.superherodb.com/pictures2/portraits/10/100/1314.jpg,75,John Wraith,"Former Spy, Government Operative, Mercenary, Soldier",87,Marvel Comics,null,35,12,88 kg
bad,70,60,Green,Male,Green,196 cm,370,https://www.superherodb.com/pictures2/portraits/10/100/719.jpg,100,Joker,-,43,DC Comics,Human,12,10,86 kg
good,42,32,Blue,Female,Black,165 cm,371,https://www.superherodb.com/pictures2/portraits/10/100/1323.jpg,63,Jolt,Adventurer,31,Marvel Comics,null,27,12,49 kg
good,90,20,Red,Female,Black,165 cm,372,https://www.superherodb.com/pictures2/portraits/10/100/87.jpg,56,Jubilee,"Student, Adventurer",66,Marvel Comics,Mutant,22,8,52 kg
good,95,50,-,Male,-,188 cm,373,https://www.superherodb.com/pictures2/portraits/10/100/1163.jpg,75,Judge Dredd,Mega-City Judge,52,Rebellion,Human,38,18,0 kg
neutral,70,100,Blue,Male,Red,287 cm,374,https://www.superherodb.com/pictures2/portraits/10/100/826.jpg,44,Juggernaut,"Adventurer formerly Professional criminal, mercenary, soldier",85,Marvel Comics,Human,42,100,855 kg
bad,30,90,-,Male,-,0 cm,375,https://www.superherodb.com/pictures2/portraits/10/100/10002.jpg,50,Junkpile,Mercenary; Former member of S.H.I.E.L.D.,81,Marvel Comics,Mutant,17,38,0 kg
good,30,70,Hazel,Male,Brown,178 cm,376,https://www.superherodb.com/pictures2/portraits/10/100/88.jpg,50,Justice,Adventurer,55,Marvel Comics,Human,33,10,81 kg
good,null,null,Green,Female,Brown,0 cm,377,https://www.superherodb.com/pictures2/portraits/10/100/10562.jpg,null,Jyn Erso,-,null,George Lucas,Human,null,null,0 kg
good,null,null,White,Male,No Hair,213 cm,378,https://www.superherodb.com/pictures2/portraits/10/100/10643.jpg,null,K-2SO,-,null,George Lucas,Android,null,null,0 kg
bad,70,70,Brown,Male,Brown,191 cm,379,https://www.superherodb.com/pictures2/portraits/10/100/1053.jpg,100,Kang,-,100,Iron Lad,null,58,48,104 kg
good,50,25,-,Female,-,0 cm,380,https://www.superherodb.com/pictures2/portraits/10/100/10581.jpg,75,Kathryn Janeway,Fleet Commander,21,Star Trek,Human,21,8,0 kg
good,55,25,-,Female,-,0 cm,381,https://www.superherodb.com/pictures2/portraits/10/100/10484.jpg,56,Katniss Everdeen,-,24,,Human,21,8,0 kg
good,40,14,-,Male,Black,0 cm,382,https://www.superherodb.com/pictures2/portraits/10/100/1408.jpg,25,Kevin 11,-,100,DC Comics,Human,12,7,0 kg
good,56,35,Blue,Male,Blond,0 cm,383,https://www.superherodb.com/pictures2/portraits/10/100/1158.jpg,38,Kick-Ass,Student,22,Icon Comics,Human,23,10,0 kg
good,30,42,Green,Male,Red,0 cm,384,https://www.superherodb.com/pictures2/portraits/10/100/722.jpg,25,Kid Flash,-,20,DC Comics,Human,92,4,0 kg
good,null,null,-,Male,-,0 cm,385,https://www.superherodb.com/pictures2/portraits/10/100/894.jpg,null,Kid Flash II,-,null,Flash IV,null,null,47,0 kg
bad,60,90,Red,Male,No Hair,244 cm,386,https://www.superherodb.com/pictures2/portraits/10/100/723.jpg,19,Killer Croc,-,53,DC Comics,Metahuman,35,53,356 kg
bad,30,35,Blue,Female,Blond,0 cm,387,https://www.superherodb.com/pictures2/portraits/10/100/10508.jpg,88,Killer Frost,Scientist,59,DC Comics,Human,13,10,0 kg
good,80,42,Red,Male,No Hair,234 cm,388,https://www.superherodb.com/pictures2/portraits/10/100/1428.jpg,81,Kilowog,-,100,DC Comics,Bolovaxian,53,90,324 kg
good,75,75,Yellow,Male,Black,30.5 meters,389,https://www.superherodb.com/pictures2/portraits/10/100/10591.jpg,56,King Kong,-,47,,Animal,71,100,"9,000 tons"
bad,40,90,Black,Male,No Hair,0 cm,390,https://www.superherodb.com/pictures2/portraits/10/100/10512.jpg,50,King Shark,Professional Criminal,86,DC Comics,Animal,50,88,0 kg
bad,70,40,Blue,Male,No Hair,201 cm,391,https://www.superherodb.com/pictures2/portraits/10/100/623.jpg,75,Kingpin,"Criminal organizer and mastermind, president and owner of legitimate businesses",13,Marvel Comics,Human,25,18,203 kg
bad,60,100,Red,Male,No Hair,188 cm,392,https://www.superherodb.com/pictures2/portraits/10/100/1539.jpg,63,Klaw,"Criminal, former Scientist",62,Marvel Comics,Human,33,38,97 kg
good,14,10,Black,Male,No Hair,0 cm,393,https://www.superherodb.com/pictures2/portraits/10/100/1343.jpg,25,Kool-Aid Man,-,9,null,null,8,18,0 kg
bad,85,28,Brown,Male,Black,191 cm,394,https://www.superherodb.com/pictures2/portraits/10/100/1034.jpg,50,Kraven II,-,43,Marvel Comics,Human,23,34,99 kg
bad,85,42,Brown,Male,Black,183 cm,395,https://www.superherodb.com/pictures2/portraits/10/100/1033.jpg,63,Kraven the Hunter,"Professional game hunter, mercenary",25,Marvel Comics,Human,35,32,106 kg
good,40,90,Blue,Male,White,64 cm,396,https://www.superherodb.com/pictures2/portraits/10/100/725.jpg,9,Krypto,-,82,DC Comics,Kryptonian,100,80,18 kg
good,60,60,Green,Male,Black,180 cm,397,https://www.superherodb.com/pictures2/portraits/10/100/1409.jpg,69,Kyle Rayner,"Green Lantern, Adventurer, Artist",100,DC Comics,Human,50,90,79 kg
bad,70,30,-,Male,-,0 cm,398,https://www.superherodb.com/pictures2/portraits/10/100/10559.jpg,56,Kylo Ren,-,100,George Lucas,Human,33,44,0 kg
bad,null,null,-,Female,Black,0 cm,399,https://www.superherodb.com/pictures2/portraits/10/100/1170.jpg,null,Lady Bullseye,-,null,Marvel Comics,null,null,63,0 kg
bad,90,85,Brown,Female,Black,175 cm,400,https://www.superherodb.com/pictures2/portraits/10/100/810.jpg,63,Lady Deathstrike,-,48,Marvel Comics,Cyborg,42,28,58 kg
bad,42,14,Green,Male,No Hair,178 cm,401,https://www.superherodb.com/pictures2/portraits/10/100/885.jpg,100,Leader,-,59,Marvel Comics,null,12,10,63 kg
good,14,14,-,Male,-,0 cm,402,https://www.superherodb.com/pictures2/portraits/10/100/834.jpg,25,Leech,"Survivor, former student",62,Marvel Comics,null,12,5,0 kg
good,75,30,Green / Blue,Male,Black,175 cm,403,https://www.superherodb.com/pictures2/portraits/10/100/10651.jpg,50,Legion,"Adventurer, Student",100,Marvel Comics,Mutant,42,100,59 kg
good,80,65,Blue,Male,No Hair,0 cm,404,https://www.superherodb.com/pictures2/portraits/10/100/10327.jpg,75,Leonardo,Ninja,59,IDW Publishing,Mutant,50,16,0 kg
bad,70,65,Green,Male,No Hair,188 cm,405,https://www.superherodb.com/pictures2/portraits/10/100/727.jpg,100,Lex Luthor,Owner of LexCorp,68,DC Comics,Human,25,53,95 kg
good,42,28,Blue,Female,Red,165 cm,406,https://www.superherodb.com/pictures2/portraits/10/100/1178.jpg,38,Light Lass,-,67,DC Comics,null,35,10,54 kg
good,42,28,Blue,Male,Red,155 cm,407,https://www.superherodb.com/pictures2/portraits/10/100/1177.jpg,38,Lightning Lad,Legionnaire,60,DC Comics,null,23,10,65 kg
bad,42,42,Blue,Male,Red,191 cm,408,https://www.superherodb.com/pictures2/portraits/10/100/1179.jpg,44,Lightning Lord,-,66,DC Comics,null,23,10,95 kg
bad,28,56,Yellow,-,-,198 cm,409,https://www.superherodb.com/pictures2/portraits/10/100/1037.jpg,75,Living Brain,Robot,31,Marvel Comics,null,35,53,360 kg
neutral,30,100,Blue,-,No Hair,0 cm,410,https://www.superherodb.com/pictures2/portraits/10/100/10523.jpg,100,Living Tribunal,-,100,Marvel Comics,Cosmic Entity,100,100,0 kg
good,null,null,-,Female,-,0 cm,411,https://www.superherodb.com/pictures2/portraits/10/100/868.jpg,null,Liz Sherman,-,null,Dark Horse Comics,null,null,null,0 kg
bad,56,70,Red,Male,No Hair,203 cm,412,https://www.superherodb.com/pictures2/portraits/10/100/11.jpg,50,Lizard,Research biologist,63,Marvel Comics,Human,27,51,230 kg
neutral,85,100,Red,Male,Black,229 cm,413,https://www.superherodb.com/pictures2/portraits/10/100/1127.jpg,94,Lobo,"Assassin, Bounty Hunter, Priest",100,DC Comics,Czarnian,54,100,288 kg
bad,60,85,Green,Male,Black,193 cm,414,https://www.superherodb.com/pictures2/portraits/10/100/928.jpg,88,Loki,God of evil; former god of mischief and madness,100,Marvel Comics,Asgardian,46,63,236 kg
good,70,10,Blue,Male,Blond,188 cm,415,https://www.superherodb.com/pictures2/portraits/10/100/1531.jpg,50,Longshot,"freedom fighter, stuntman rebel, adventurer",71,Marvel Comics,Human,27,10,36 kg
good,70,95,Brown,Male,Black,198 cm,416,https://www.superherodb.com/pictures2/portraits/10/100/269.jpg,50,Luke Cage,"Adventurer, bar owner, bodyguard, mercenary; formerly theater owner, private investigator, various odd jobs",44,Power Man,Human,29,63,191 kg
bad,null,null,-,Male,-,0 cm,417,https://www.superherodb.com/pictures2/portraits/10/100/1311.jpg,null,Luke Campbell,-,null,NBC - Heroes,null,null,null,0 kg
good,100,25,Blue,Male,Blond,168 cm,418,https://www.superherodb.com/pictures2/portraits/10/100/10447.jpg,69,Luke Skywalker,-,100,George Lucas,Human,42,38,77 kg
good,14,14,-,Female,-,0 cm,419,https://www.superherodb.com/pictures2/portraits/10/100/933.jpg,38,Luna,-,53,Marvel Comics,Human,83,6,0 kg
good,null,null,Green,Female,Green,0 cm,420,https://www.superherodb.com/pictures2/portraits/10/100/1017.jpg,null,Lyja,Former Skrull Liason Officer,null,Marvel Comics,null,null,null,0 kg
bad,56,84,Brown,Male,Brown,180 cm,421,https://www.superherodb.com/pictures2/portraits/10/100/370.jpg,75,Mach-IV,"Adventurer; former master mechanic, professional criminal, mercenary",60,Marvel Comics,null,60,36,79 kg
good,64,84,Red,-,Black,183 cm,422,https://www.superherodb.com/pictures2/portraits/10/100/90.jpg,63,Machine Man,Insurance Investigator,51,Marvel Comics,null,35,32,383 kg
bad,80,84,Grey,Male,White,188 cm,423,https://www.superherodb.com/pictures2/portraits/10/100/12.jpg,88,Magneto,"Currently Revolutionary and Conqueror, formerly Volunteer Orderly, Secret Agent",91,Marvel Comics,Mutant,27,80,86 kg
good,72,64,Blue,Male,Blond,0 cm,424,https://www.superherodb.com/pictures2/portraits/10/100/1324.jpg,50,Magog,-,66,DC Comics,null,23,48,0 kg
bad,74,99,Black,Male,-,183 cm,425,https://www.superherodb.com/pictures2/portraits/10/100/1297.jpg,88,Magus,Ruler of the Technarchy,100,Marvel Comics,null,70,100,0 kg
-,100,100,Blue,-,Silver,0 cm,426,https://www.superherodb.com/pictures2/portraits/10/100/10889.jpg,100,Man of Miracles,-,100,Image Comics,God / Eternal,100,100,0 kg
neutral,30,70,Brown,Male,Brown,0 cm,427,https://www.superherodb.com/pictures2/portraits/10/100/731.jpg,38,Man-Bat,Zoologist,33,DC Comics,Human,50,18,0 kg
good,40,100,Red,Male,No Hair,213 cm,428,https://www.superherodb.com/pictures2/portraits/10/100/382.jpg,50,Man-Thing,-,100,Marvel Comics,null,8,32,225 kg
good,70,42,Brown,Male,Auburn,188 cm,429,https://www.superherodb.com/pictures2/portraits/10/100/91.jpg,63,Man-Wolf,"Employed by Dept. of Social Services, Queens; former astronaut, test pilot, security chief for Ravenscroft Institute",45,Marvel Comics,null,35,44,90 kg
bad,95,28,Blue,Male,White,188 cm,430,https://www.superherodb.com/pictures2/portraits/10/100/1175.jpg,100,Mandarin,"Would-be conqueror; former janitor, businessman and crimelord, government administrator",100,Marvel Comics,Human,23,28,97 kg
good,80,80,Green,Female,Black,168 cm,431,https://www.superherodb.com/pictures2/portraits/10/100/384.jpg,63,Mantis,"Celestial Madonna, former adventuress, former bar-maid/prostitute/exotic dancer",100,Marvel Comics,Human-Kree,33,8,52 kg
good,85,100,Red,Male,No Hair,201 cm,432,https://www.superherodb.com/pictures2/portraits/10/100/733.jpg,100,Martian Manhunter,-,100,DC Comics,Martian,92,95,135 kg
good,80,42,Green,Female,Red,170 cm,433,https://www.superherodb.com/pictures2/portraits/10/100/94.jpg,63,Marvel Girl,Adventurer,100,Marvel Comics,null,47,85,56 kg
good,null,null,Blue,Male,Black,183 cm,434,https://www.superherodb.com/pictures2/portraits/10/100/958.jpg,null,Master Brood,-,null,Team Epic TV,null,null,null,81 kg
good,100,80,Brown,Male,Brown,213 cm,435,https://www.superherodb.com/pictures2/portraits/10/100/1110.jpg,75,Master Chief,Master Chief Petty Officer of the Navy,69,Microsoft,Human / Altered,35,73,0 kg
bad,70,85,Black,Male,Black,0 cm,436,https://www.superherodb.com/pictures2/portraits/10/100/1459.jpg,75,Match,-,100,DC Comics,null,83,95,0 kg
good,56,14,-,Male,-,0 cm,437,https://www.superherodb.com/pictures2/portraits/10/100/948.jpg,63,Matt Parkman,NYPD detective,59,NBC - Heroes,null,12,10,0 kg
good,85,42,Blue,Male,Black,193 cm,438,https://www.superherodb.com/pictures2/portraits/10/100/257.jpg,63,Maverick,"Mercenary; former adventurer, student",60,Marvel Comics,null,12,10,110 kg
bad,75,56,Brown,Female,Red,180 cm,439,https://www.superherodb.com/pictures2/portraits/10/100/1168.jpg,75,Maxima,"Adventurer, Queen of the Almerac Empire",81,DC Comics,null,35,90,72 kg
